genre,x,y,hex_colour
canadian shoegaze,164,12011,#a27e85
canadian singer-songwriter,607,6720,#7a910d
canadian soundtrack,202,5496,#3c9dbf
canadian stoner rock,175,10133,#cf6560
canadian trap,1058,14461,#949802
canadian underground hip hop,1005,11789,#ad8508
canberra indie,431,9612,#9e8127
cancion infantil latinoamericana,1016,8526,#6b981f
cancion infantil mexicana,1005,9528,#928608
cancion melodica,604,4903,#6d9305
cancoes infantis,1061,11863,#939203
candombe,961,9738,#a08027
candomble,963,5555,#7c8239
candy pop,500,15356,#ba790e
cantaditas,927,18176,#d57440
cantautor,731,8163,#858d0f
cantautor catala,677,6583,#749414
cantautora argentina,815,7624,#6d9a0d
cante alentejano,615,1881,#399c5d
cante flamenco,847,2260,#59941d
canterbury scene,448,7018,#7c8649
canti alpini,650,6498,#738e1d
canto a tenore,543,1451,#4d8306
canto popular uruguayo,939,4737,#6c960f
cantonese opera,543,5496,#639b0d
cantonese traditional,351,2804,#4a9c62
cantonese worship,545,6981,#689a21
cantopop,621,10429,#868f04
canzone d'autore,643,5930,#738f07
canzone genovese,604,4586,#5e960d
canzone napoletana,520,4346,#629610
cape breton folk,571,5581,#819837
cape breton indie,579,10584,#8e900a
cape town indie,786,15697,#ab852e
cape verdean folk,858,7808,#878f09
capoeira,1054,8538,#9c801c
caracas indie,579,14310,#b18027
cardiff indie,465,9238,#99863c
caribbean metal,276,11583,#dc5242
carimbo,855,12564,#b6840c
carnatic,746,3032,#7d8839
carnatic instrumental,841,4055,#878685
carnatic vocal,716,2589,#7c8817
carnaval,779,16201,#cb780b
carnaval cadiz,823,9427,#ae730b
carnaval limburg,806,12552,#ac8009
cartoon,1176,9466,#7c8106
cascadian black metal,41,9415,#b15db3
catalan folk,741,5856,#69923d
cathedral choir,71,603,#21983d
caucasian classical,334,1595,#4191b5
caucasian classical piano,515,339,#21a3d1
caucasian folk,411,2969,#4f9b48
cavernous death metal,59,9287,#e236b8
